store_id	genre_name	area_name	latitude	longitude
0f0cdeee6c9bf3d7	Italian/French	Hyōgo-ken Kōbe-shi Kumoidōri	34.6951242	135.1978525
7cc17a324ae5c7dc	Italian/French	Hyōgo-ken Kōbe-shi Kumoidōri	34.6951242	135.1978525
fee8dcf4d619598e	Italian/French	Hyōgo-ken Kōbe-shi Kumoidōri	34.6951242	135.1978525
a17f0778617c76e2	Italian/French	Hyōgo-ken Kōbe-shi Kumoidōri	34.6951242	135.1978525
83db5aff8f50478e	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
99c3eae84130c1cb	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
f183a514cb8ff4fa	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
6b9fa44a9cf504a1	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
0919d54f0c9a24b8	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
2c6c79d597e48096	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
0164b9927d20bcc3	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
681f96e6a6595f82	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
ef920fa6f4b085f6	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
d3e7b5952cd09ccb	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
e64de0a6bf0739af	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
4ce7b17062a1bf73	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
290e7a57b390f78e	Italian/French	Tōkyō-to Minato-ku Shibakōen	35.6580681	139.7515992
4579cb0669fd411b	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
63a750d8b4b6a976	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
9438d67241c81314	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
929d8513e3cdb423	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
6c1128955c58b690	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
638c35eb25e53eea	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
a7404a854919e990	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
f6cdaf7b7fdc6d78	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
df9355c47c5df9d3	Italian/French	Fukuoka-ken Fukuoka-shi Daimyō	33.5892157	130.3928134
bf617aa68d5f1cfa	Italian/French	Tōkyō-to Setagaya-ku Setagaya	35.6465721	139.6532473
a218912784bf767d	Italian/French	Tōkyō-to Setagaya-ku Setagaya	35.6465721	139.6532473
506fe758114df773	Italian/French	Tōkyō-to Setagaya-ku Setagaya	35.6465721	139.6532473
0b9038300f8b2b50	Italian/French	Tōkyō-to Setagaya-ku Setagaya	35.6465721	139.6532473
3440e0ea1b70a99b	Italian/French	Ōsaka-fu Ōsaka-shi Ōgimachi	34.7053617	135.5100252
722297e7f26db91d	Italian/French	Ōsaka-fu Ōsaka-shi Ōgimachi	34.7053617	135.5100252
fcfbdcf7b1f82c6e	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
f8233ad00755c35c	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
d186b2cb0b9ce022	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
e76a668009c5dabc	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
7fbf7649eb13ad9b	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
b439391e72899756	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
681b0c56328dd2af	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
938ef91ecdde6878	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
f911308e19d64236	Italian/French	Tōkyō-to Shibuya-ku Shibuya	35.6617773	139.7040506
650f9b9de0c5542c	Italian/French	Tōkyō-to Suginami-ku Asagayaminami	35.6995657	139.6364379
632ba66e1f75aa28	Italian/French	Tōkyō-to Suginami-ku Asagayaminami	35.6995657	139.6364379
8e492076a1179383	Italian/French	Hiroshima-ken Hiroshima-shi Kokutaijimachi	34.3862445	132.4550176
0867f7bebad6a649	Italian/French	Hiroshima-ken Hiroshima-shi Kokutaijimachi	34.3862445	132.4550176
9d93d95720f2e831	Italian/French	Tōkyō-to Chūō-ku Ginza	35.6721142	139.7708253
900d755ebd2f7bbd	Italian/French	Tōkyō-to Chūō-ku Ginza	35.6721142	139.7708253
dfe068a1bf85f395	Italian/French	Tōkyō-to Chūō-ku Ginza	35.6721142	139.7708253
